"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2647","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241013","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","08-Sep-2026","MS VAISHNAVI TRADERS","Payment In-Progress","47200"
"2648","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241245","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","MS ANURAG ENTERPRISES","Payment In-Progress","293820"
"2649","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241244","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","MS ANURAG ENTERPRISES","Payment In-Progress","246030"
"2650","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18160/2026-2027/262093","Balotra(DISTRICT COLLECTOR Balotra_IDA)","UMMEDA RAM BENIWAL","BARMER","09-Aug-2026","Meero Construction Company","Payment In-Progress","420004"
"2651","Odisha","Construction of community centers and community halls","WS/MP18141/2025-2026/239826","Anugola(DISTRICT COLLECTORANGUL_IDA)","RUDRA NARAYAN PANY","DHENKANAL","02-Sep-2026","Jyotsnarani Pradhan","Payment In-Progress","994184"
"2652","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/188571","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","08-Sep-2026","BASAVARAJ GANAGAPPA AMBIGER","Payment In-Progress","124879"
"2653","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2026-2027/262617","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Aug-2026","Nityanand Palariya","Payment In-Progress","100000"
"2654","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/254869","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","09-Sep-2026","INDRA MOHAN BORAH","Payment In-Progress","138530"
"2655","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/254869","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","09-Sep-2026","INDRA MOHAN BORAH","Payment In-Progress","73580"
"2656","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18429/2026-2027/245707","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","08-Sep-2026","GRAM PANCHAYAT SHELGAON CHATRI TQ NAIGAON","Payment In-Progress","973968"
"2657","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18060/2025-2026/227228","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","17-Aug-2026","The sachdeva Co operative labour and Construction","Payment In-Progress","535102"
"2658","Odisha","Construction of rooms and halls in school and colleges","WS/MP18139/2025-2026/202516","Baragada(DISTRICT COLLECTOR BARAGARH_IDA)","PRADEEP PUROHIT","BARGARH","12-Aug-2026","B D O BIJEPUR","Payment In-Progress","476000"
"2659","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18105/2025-2026/185662","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","08-Sep-2026","SHERIL CONSTRUCTION","Payment In-Progress","216046"
"2660","Gujarat","Construction of community centers and community halls","WS/MP18321/2024-2025/152559","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","25-Aug-2026","UNDVA GRAM PANCHAYAT","Payment In-Progress","500000"
"2661","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241134","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","KAVYASHREE ENTERPRISES","Payment In-Progress","194110"
