"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3854","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/269915","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","17-Aug-2026","harish ram","Payment Success","5520"
"3855","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/269915","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","17-Aug-2026","chandra shekhar","Payment Success","7560"
"3856","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","Asha Devi","Payment Success","8820"
"3857","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","Bhagirathi Devi","Payment Success","8820"
"3858","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","Kishan singh","Payment Success","8820"
"3859","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","Munni Devi","Payment Success","8820"
"3860","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","shoban singh","Payment Success","8820"
"3861","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","nisha bhakuni","Payment Success","8820"
"3862","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","mohan singh","Payment Success","8820"
"3863","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","Puran Singh","Payment Success","8568"
"3864","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","11-Aug-2026","mukesh kumar","Payment Success","16100"
"3865","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/276799","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","12-Aug-2026","Trilok Singh","Payment Success","1840"
"3866","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18118/2025-2026/252915","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","BHASKAR MURLIDHAR BHAGARE","DINDORI(ST)","24-Aug-2026","shramsaphalya majur bandhkam sah soc ltd dolhare","Payment Success","998000"
"3867","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177240","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","jagdish singh","Payment Success","10980"
"3868","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177239","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","jagdish singh","Payment Success","12444"
"3869","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/262400","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Aug-2026","GANGA ARYA","Payment Success","16836"
"3870","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/262610","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","PRATIMA GAUNIYA","Payment Success","2928"
"3871","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/262610","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","PAN SINGH MEWARI","Payment Success","4545"
"3872","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/262610","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","YASH GAUNIYA","Payment Success","3294"
"3873","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Sarabjit Singh so Tulsa Singh","Payment Success","81209"
"3874","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/280964","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","kartik Industries","Payment Success","325000"
"3875","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/280927","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","kartik Industries","Payment Success","325000"
"3876","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185463","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","18-Aug-2026","NOUSHAD T V","Payment Success","231959"
"3877","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185470","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","10-Aug-2026","NOUSHAD T V","Payment Success","226217"
"3878","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185467","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","10-Aug-2026","NOUSHAD T V","Payment Success","232986"
"3879","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185477","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","10-Aug-2026","NOUSHAD T V","Payment Success","232223"
"3880","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185474","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","17-Aug-2026","NOUSHAD T V","Payment Success","161286"
"3881","Maharashtra","Fitting of Sitting RCC Benches in Public Places","WS/MP18116/2025-2026/236540","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","07-Aug-2026","GOLDEN CONSTRUCTION","Payment Success","499976"
"3882","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/245152","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-Aug-2026","Gurnoor building material","Payment Success","134400"
"3883","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP446/2026-2027/288640","CHHATARPUR(District Collector Chhatarpur_IDA)","Vishnu Dutt Sharma","KHAJURAHO","21-Aug-2026","GRAM PANCHAYAT ANDHIYARI BARI","Payment Success","300000"
"3884","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/231280","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","24-Aug-2026","BHARAT DUTTA","Payment Success","199900"
"3885","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP18003/2025-2026/223856","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","06-Aug-2026","Kondeti Vijayabhaskar","Payment Success","499857"
"3886","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/243760","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","11-Aug-2026","Akash Rajendra Kharode","Payment Success","992500"
"3887","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP394/2026-2027/230776","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","07-Aug-2026","Xavier Prabhu","Payment Success","1485403"
"3888","Tamil Nadu","Construction of buildings for multi-gym","WS/MP18186/2026-2027/212317","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","07-Aug-2026","RLatha","Payment Success","1999836"
"3889","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/247076","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","18-Aug-2026","SARPANCHSHRI UNAVA GRAM PANCHAYAT","Payment Success","250000"
"3890","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2026-2027/270403","SIROHI(DISTRICT COLLECTOR SIROHI_IDA)","LUMBARAM","JALORE","31-Aug-2026","OMKAR ENTERPRISES","Payment Success","446495"
"3891","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/254310","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","11-Aug-2026","Ankaliya Gram Panchayat","Payment Success","500000"
"3892","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2026-2027/271415","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","10-Aug-2026","GRAM PANCHAYAT AJARPURA","Payment Success","489983"
"3893","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2026-2027/257822","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","KANNAUJ","07-Aug-2026","NewDabbu Traders","Payment Success","175000"
"3894","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18194/2026-2027/228628","SANGAREDDY(District Collector Sangareddy_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","11-Aug-2026","BIRADAR SIDDAPPA","Payment Success","498674"
"3895","Gujarat","Providing drains and gutters for public drainage","WS/MP323/2025-2026/242524","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","21-Aug-2026","GRAM PANCHAYAT BAMANGAM","Payment Success","224143"
"3896","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/208257","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Aug-2026","The Golden Cooperative society ltd","Payment Success","203222"
"3897","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/208258","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Aug-2026","The Golden Cooperative society ltd","Payment Success","377960"
"3898","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/208259","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Aug-2026","The Golden Cooperative society ltd","Payment Success","377203"
"3899","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/210988","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Aug-2026","The Golden Cooperative society ltd","Payment Success","377203"
"3900","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/208261","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Aug-2026","The Golden Cooperative society ltd","Payment Success","398685"
"3901","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/208260","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Aug-2026","The Golden Cooperative society ltd","Payment Success","377960"
"3902","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18337/2025-2026/239224","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","K RADHAKRISHNAN","ALATHUR(SC)","07-Aug-2026","BABU C K","Payment Success","648752"
"3903","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2026-2027/276689","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","10-Aug-2026","PM ADARSHGRAM YOJNA G P SAMSHERPUR","Payment Success","972751"
"3904","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/278128","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","07-Aug-2026","T SOMESWAR RAO","Payment Success","500000"
"3905","Uttarakhand","Purchase of furniture and fixtures for educational purposes","WS/MP021/2026-2027/254806","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","virmani furniture","Payment Success","75000"
"3906","Madhya Pradesh","Construction of community centers and community halls","WS/MP638/2026-2027/260001","TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA)","Virendra Kumar","TIKAMGARH(SC)","19-Aug-2026","Gram Panchayat Kanera","Payment Success","200000"
"3907","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18152/2025-2026/274128","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","17-Aug-2026","Jagdeep Singh","Payment Success","46900"
"3908","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18152/2025-2026/274129","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","17-Aug-2026","Jagdeep Singh","Payment Success","46900"
"3909","Karnataka","Construction of community centers and community halls","WS/MP618/2024-2025/169540","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","05-Aug-2026","ABHISHEK V GOUDAR","Payment Success","375000"
"3910","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18049/2025-2026/152172","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","11-Aug-2026","New Ramesh Fabrication","Payment Success","1600000"
"3911","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18164/2025-2026/257525","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","22-Aug-2026","PEERDAN NAYAK","Payment Success","8950"
"3912","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18164/2025-2026/257525","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","22-Aug-2026","PRINCE ENTERPRISES","Payment Success","77000"
"3913","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18164/2025-2026/257525","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","22-Aug-2026","BALRAM","Payment Success","2000"
"3914","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","RAVINDRA","Payment Success","3705"
"3915","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","RAVINDRA","Payment Success","3705"
"3916","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","RAVINDRA","Payment Success","9100"
"3917","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","RAVINDRA","Payment Success","9100"
"3918","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","RAMAN SINGH","Payment Success","3705"
"3919","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","MUNNI DEVI","Payment Success","3705"
"3920","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","MUNNI DEVI","Payment Success","3705"
"3921","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","KAMAL SINGH","Payment Success","3705"
"3922","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","PRAVEEN KUMAR","Payment Success","9100"
"3923","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","PRAVEEN KUMAR","Payment Success","9100"
"3924","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","RAMRATI","Payment Success","3705"
"3925","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","NIRANJAN","Payment Success","3705"
"3926","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","NIRANJAN","Payment Success","1425"
"3927","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/227379","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","19-Aug-2026","OMVATI","Payment Success","3705"
"3928","Haryana","Setting up of laboratories","WS/MP329/2026-2027/285752","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","08-Aug-2026","Computer Vision","Payment Success","300000"
"3929","Haryana","Setting up of laboratories","WS/MP329/2026-2027/285752","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","08-Aug-2026","Mahesh and Company","Payment Success","100555"
"3930","Haryana","Setting up of laboratories","WS/MP329/2026-2027/285752","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","08-Aug-2026","Vijay Book Stall","Payment Success","99445"
"3931","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241180","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","06-Aug-2026","AMRIT SINGH","Payment Success","14822"
"3932","Gujarat","Construction of public staircase/ stair ghat for public convenience","WS/MP18054/2025-2026/251511","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","01-Sep-2026","SHRI ANANDPURA GRAM PANCHAYAT","Payment Success","100000"
"3933","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2026-2027/259876","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","05-Aug-2026","AGLOD GRAM PANCHAYAT","Payment Success","150000"
"3934","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18321/2026-2027/262884","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","12-Aug-2026","SARPANCHASHRI PURAL GRAM PANCHAYAT","Payment Success","200000"
"3935","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Aug-2026","Rajinder Kaur Sarpanch Thali Khurd","Payment Success","27048"
"3936","Telangana","Construction of stadiums","WS/MP18190/2026-2027/201041","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","BALRAM NAIK PORIKA","MAHABUBABAD","05-Aug-2026","Narsinga Srinivas","Payment Success","1964986"
"3937","Andaman And Nicobar Islands","Construction of footpaths and pedestrian ways","WS/MP18275/2025-2026/242171","SOUTH ANDAMANS(Implementing District Authority(SA))","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","11-Aug-2026","rakib construction","Payment Success","765456"
"3938","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Aug-2026","Dasmesh Traders Ghanauli","Payment Success","25200"
"3939","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18391/2026-2027/283805","MON(Deputy Commissioner Mon_IDA)","S SUPONGMEREN JAMIR","NAGALAND","07-Aug-2026","Lhangti Konyak","Payment Success","6800000"
"3940","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Aug-2026","A One Bricks Dabhota HP","Payment Success","44800"
"3941","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Aug-2026","A One Bricks Dabhota HP","Payment Success","44800"
"3942","Chandigarh","Construction of common work sheds/ common covered sitting area","WS/MP18047/2026-2027/227245","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","18-Aug-2026","VEE ESS ENTERPRISES","Payment Success","46419"
"3943","Chandigarh","Construction of common work sheds/ common covered sitting area","WS/MP18047/2026-2027/227245","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","12-Aug-2026","VEE ESS ENTERPRISES","Payment Success","998542"
"3944","Chandigarh","Construction of common work sheds/ common covered sitting area","WS/MP18047/2026-2027/227245","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","18-Aug-2026","VEE ESS ENTERPRISES","Payment Success","23750"
"3945","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265940","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3946","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265942","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3947","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265902","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3948","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265895","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3949","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265894","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3950","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265901","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3951","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265898","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3952","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265897","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3953","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265899","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
"3954","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265943","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","07-Aug-2026","MA LAXMI ELECTRICAL ENGINEERING WORKS","Payment Success","150000"
